artifact_id	artifact_path	artifact_kind	exists	size_bytes	sha256	producer_command	runtime_commit	input_digests	config_digest	created_at	source_classification	claim_ids	notes
A023	.tmp/characterize_fasim_gasal2_flush_two_slot_overlap_broader_matrix_v2/nsight.tsv	profiler_summary	1	649	3e09229d528b8cdf6e625fdce196bccd1fc292d227bfd12a2ab5a34f39d575db	characterize_fasim_gasal2_flush_two_slot_overlap_broader_matrix.sh	a597392b50137bf973d5a15a6a2c326c5e86bbb7	NA	NA	NA	reused_digest_verified	C4	External-profiler device overlap attribution
A024	.tmp/characterize_fasim_gasal2_flush_two_slot_overlap_broader_matrix_v2/runs.tsv	raw_run_table	1	21113	90377a610ca7751eed2193ea2f392df782503ac717317bd490f688666240c20d	characterize_fasim_gasal2_flush_two_slot_overlap_broader_matrix.sh	a597392b50137bf973d5a15a6a2c326c5e86bbb7	NA	NA	NA	reused_digest_verified	C4	Three repeats per mode for chr21 and chr22
A025	.tmp/characterize_fasim_gasal2_flush_two_slot_overlap_broader_matrix_v2/summary.txt	machine_readable_summary	1	2947	6d3d359b197189d5083d0e925bd669117ba36ff9ef83e392566cb50f88f19957	characterize_fasim_gasal2_flush_two_slot_overlap_broader_matrix.sh	a597392b50137bf973d5a15a6a2c326c5e86bbb7	NA	NA	NA	reused_digest_verified	C4	Historical broader matrix aggregate
A026	.tmp/phase7_gasal2_long_query_integrated/bounded-summary.txt	machine_readable_summary	1	902	aa2c680a1b2e4206695ab6612104eee139223a1f9e8a5303d161ea5af2306e58	characterize-fasim-gasal2-long-query-integrated-phase7	d50dd2c7b144315fd30a6693ec08c9296fd5b930	query_sha256=f8883e1855017b7a28576770a8c8476a8eb1adbfcbef08d55c6dc74c49a86cc4;target_sha256=ce3ee1ca39356238f7aee438a40a88b4f1b9d80b316b263e16fb12402212d10f	2d06963ba76cf6319478dcc7bfb5b8d2eaff4e1fd1eab0893f3fcfdb41d1af5b	NA	reused_digest_verified	C5,C6,C7	Bounded gate denied full candidate
A027	.tmp/phase7_gasal2_long_query_integrated/pairs.tsv	raw_run_table	1	3694	0a6ccecade3c6cf2fd71e090cef22cfe977f0e389df2e8860b28bb7304a2a197	characterize-fasim-gasal2-long-query-integrated-phase7	d50dd2c7b144315fd30a6693ec08c9296fd5b930	query_sha256=f8883e1855017b7a28576770a8c8476a8eb1adbfcbef08d55c6dc74c49a86cc4;target_sha256=ce3ee1ca39356238f7aee438a40a88b4f1b9d80b316b263e16fb12402212d10f	NA	NA	reused_digest_verified	C5,C6,C7	Small H19 max4 and two max8 pair receipts
A028	.tmp/phase7_gasal2_long_query_integrated/runs/max8/repeat_1/candidate/run-config.json	run_config	1	1373	6b9ca8dba4100521dfb70aa8b1857474fdad1c726ece02377023593718efe536	characterize-fasim-gasal2-long-query-integrated-phase7	d50dd2c7b144315fd30a6693ec08c9296fd5b930	query_sha256=f8883e1855017b7a28576770a8c8476a8eb1adbfcbef08d55c6dc74c49a86cc4;target_sha256=ce3ee1ca39356238f7aee438a40a88b4f1b9d80b316b263e16fb12402212d10f	2d06963ba76cf6319478dcc7bfb5b8d2eaff4e1fd1eab0893f3fcfdb41d1af5b	NA	reused_digest_verified	C5,C6,C7	Typed max8 configuration and runtime receipt
A029	.tmp/characterize_fasim_gasal2_segmented_query_kcnq1ot1_chr22_full_fullquery/offline_cluster_grid_compare_details.tsv	machine_readable_summary	1	1267	c208525b3e90c1c6b5c4640035605c3aaa0ac35577f0566edcc08bda8483875d	user_provided_fullquery_run	NA	query_sha256=f8883e1855017b7a28576770a8c8476a8eb1adbfcbef08d55c6dc74c49a86cc4;target_sha256=ce3ee1ca39356238f7aee438a40a88b4f1b9d80b316b263e16fb12402212d10f	NA	NA	user_provided_external_result	C7	Descriptive full-query shifted-grid top5 details; not current-checkout reproduction
A030	.tmp/characterize_fasim_gasal2_segmented_query_kcnq1ot1_chr22_full_fullquery/summary.txt	machine_readable_summary	1	1484	a6b72c3f2fff1e691e9c6cb12823705b4c2818a9d46096412e37be61540665f3	user_provided_fullquery_run	NA	query_sha256=f8883e1855017b7a28576770a8c8476a8eb1adbfcbef08d55c6dc74c49a86cc4;target_sha256=ce3ee1ca39356238f7aee438a40a88b4f1b9d80b316b263e16fb12402212d10f	NA	NA	user_provided_external_result	C7	121-segment historical timing only; integrated candidate not run
A031	.tmp/fasim_gasal2_chr22_slice_10m_12m.fa	input_fasta	1	2025021	e36fd5e349179420d36f7a2cca4503dbe1e82ad4d7eecb88afd421f0f23099ea	local_input_preparation	NA	NA	NA	NA	reused_digest_verified	C2,C3,C5,C6	Target slice provenance remains open
A032	.tmp/fasim_gasal2_query_inputs/KCNQ1OT1_ENST00000597346.fa	input_fasta	1	93214	f8883e1855017b7a28576770a8c8476a8eb1adbfcbef08d55c6dc74c49a86cc4	local_external_input	NA	NA	NA	NA	reused_digest_verified	C2,C3,C5,C6,C7	Transcript accession recorded; retrieval provenance remains open
A033	.tmp/fasim_longtarget_gasal2_direct	binary	1	6369728	613b24d9190b8b931661fce231ded6662d2b2b3e5772262310e069c15f191cc8	make_build-fasim-gasal2	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	NA	NA	NA	reproduced_current_epoch	C1,C2,C3,C4,C5,C6,C7	Current paper-runtime binary used by the completed final gate
A034	.tmp/gasal2_hg38_archive_first_run/shards/chr22.fa	input_fasta	1	51834845	ce3ee1ca39356238f7aee438a40a88b4f1b9d80b316b263e16fb12402212d10f	local_hg38_shard_preparation	NA	NA	NA	NA	reused_digest_verified	C5,C6,C7	Assembly and extraction command provenance remains open
A035	H19.fa	input_fasta	1	2818	7d94fb9515b0fa63dbe8fb62e01bb50616760ce80eeef29ec9c3893af8040f4e	git_tracked_input	NA	NA	NA	NA	committed_historical_artifact	C1,C2,C3,C4,C6	Repository H19 input
A036	.tmp/Fasim-LongTarget/example/MALAT1/MALAT1.fa	input_fasta	1	8716	056b43eb32bea3b841261eb771fea92f193f43a51f4d5ed6f03bb69fb30da5f1	external_example_input	NA	NA	NA	NA	reused_digest_verified	C2,C3,C7	Full MALAT1 source query; retrieval provenance remains open
A037	.tmp/Fasim-LongTarget/example/MALAT1/MALAT1-DNAseq.fa	input_fasta	1	18879699	7690187d2d4c9bec15f9e0283b307c8f99b2b67d800a1a45a14310dda08641fd	external_example_input	NA	NA	NA	NA	reused_digest_verified	C3,C7	MALAT1 descriptive target; assembly provenance remains open
A038	.tmp/Fasim-LongTarget/example/MEG3/MEG3-ENST00000451743.fa	input_fasta	1	1604	c67150e68d7b4e97de72704aebcac52d2bd3342a200715484e99fff2f015e15d	external_example_input	NA	NA	NA	NA	reused_digest_verified	C2,C3	MEG3 breadth query; retrieval provenance remains open
A039	.tmp/Fasim-LongTarget/example/NEAT1/NEAT1.fa	input_fasta	1	22774	0cd673f10dba5ebfd5263eb274fdd25ad71e31d63eea4f4fdc3c458d7b8753df	external_example_input	NA	NA	NA	NA	reused_digest_verified	C2,C3,C7	Full NEAT1 source query; retrieval provenance remains open
A040	.tmp/Fasim-LongTarget/example/NEAT1/NEAT1-DNAseq.fa	input_fasta	1	10465965	29dd9029bb99ecabcdf811bee210baf6f8e55d22a65bf3ac06b24b6673bbceab	external_example_input	NA	NA	NA	NA	reused_digest_verified	C3,C7	NEAT1 guard target; assembly provenance remains open
A041	.tmp/gasal2_hg38_archive_first_run/shards/chr1.fa	input_fasta	1	253935557	04ee6db2e94ccc4daddc168453189d8c17a01454ba67ac0443a73a0401408ee0	local_hg38_shard_preparation	NA	NA	NA	NA	reused_digest_verified	C7	Descriptive chr1 target; extraction provenance remains open
A042	.tmp/gasal2_hg38_archive_first_run/shards/chr11.fa	input_fasta	1	137788362	5a45b92f2d9cbc494214203ea2c1b334c0b43dcacea3faf5909b86ccda1a57dd	local_hg38_shard_preparation	NA	NA	NA	NA	reused_digest_verified	C2,C3	Generalization chr11 source target
A043	.tmp/gasal2_hg38_archive_first_run/shards/chr21.fa	input_fasta	1	47644190	35c71b68436d1a278ecb6a1e875af3ba4020738a028a7feac769a6d62790ae1f	local_hg38_shard_preparation	NA	NA	NA	NA	reused_digest_verified	C2,C3,C4	Generalization and two-slot chr21 target
A044	.tmp/characterize_fasim_gasal2_column_pruned_preset_top5_matrix_chr21_chr22_active/runs/chr21_chr22_r1/inputs/chr21_chr22.fa	input_fasta	1	99479035	101496c0ff86af1227b8923b5c7af6be2c0e0edabee86b260cd1a539f93359d6	characterize_fasim_gasal2_column_pruned_preset_top5_matrix.sh	81a759b532db1dc0112767a47d8674e74ea34b90	NA	9992054c313f4230fc97742c04b2f4aadc34dae6c9f9b45be309573399c40961	NA	reused_digest_verified	C1	Combined chr21 and chr22 historical input; Phase 7 must reconstruct provenance
A045	paper/benchmark_protocol.md	protocol_document	1	8221	01a62e96bd66d39b1d08ac96d522de8585daba85cac6913feb4b429b5964421b	phase1_protocol_freeze	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	NA	b099762257b60ce2922a7e19920bad30e05b9cdf2af4381c60596a41ca3cb7d3	2026-07-15T08:05:48Z	reproduced_current_epoch	C1,C2,C3,C4,C5,C6,C7	Pre-result paper benchmark protocol with pre-run C1 timeout amendment
A046	paper/workload_manifest.sha256	digest_receipt	1	94	c99ef3ef5488b948135c359ea2a518613adaf50f16ccfcf025359939ce3b4a12	sha256sum_paper_workload_manifest	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	NA	b099762257b60ce2922a7e19920bad30e05b9cdf2af4381c60596a41ca3cb7d3	2026-07-15T08:05:48Z	reproduced_current_epoch	C1,C2,C3,C4,C5,C6,C7	Immutable preregistration digest receipt after pre-run timeout amendment
A047	paper/workload_manifest.tsv	workload_manifest	1	13414	b099762257b60ce2922a7e19920bad30e05b9cdf2af4381c60596a41ca3cb7d3	phase1_manifest_freeze	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	input_sha256_columns_embedded	b099762257b60ce2922a7e19920bad30e05b9cdf2af4381c60596a41ca3cb7d3	2026-07-15T08:05:48Z	reproduced_current_epoch	C1,C2,C3,C4,C5,C6,C7	Twenty-nine preregistered rows; C1 timeout amended before first paper run
A048	paper/core_benchmark_report.md	evidence_document	1	3533	265bf8199b74b1f4ea63643cbaf6408b0bd8c0708abe3d00e7bcffaf781bf642	python3_scripts/summarize_fasim_gasal2_paper_phase2.py	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	workload_manifest_sha256=b099762257b60ce2922a7e19920bad30e05b9cdf2af4381c60596a41ca3cb7d3	phase2_artifact_manifest_sha256=d6d4bd7b6ffa98f4ae510694816b4d4c906274f92a9121b6dab7adacdec05ce4	2026-07-16T04:29:50Z	reproduced_current_epoch	C1,C4,C7	Generated Phase 2 report; bootstrap intervals deferred to Phase 5
A049	paper/phase2_artifact_manifest.tsv	artifact_manifest	1	279630	d6d4bd7b6ffa98f4ae510694816b4d4c906274f92a9121b6dab7adacdec05ce4	python3_scripts/summarize_fasim_gasal2_paper_phase2.py	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	workload_manifest_sha256=b099762257b60ce2922a7e19920bad30e05b9cdf2af4381c60596a41ca3cb7d3	NA	2026-07-16T04:29:50Z	reproduced_current_epoch	C1,C4,C7	Digest inventory for 1819 immutable Phase 2 raw and derived files
A050	paper/source_data/core_benchmark_runs_pre_freeze.tsv	raw_run_table	1	11889	11ed62a9d82cb68bf37e81c48a701eaabdce0d37dc65ea6fe907be26310a54f0	python3_scripts/summarize_fasim_gasal2_paper_phase2.py	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	workload_manifest_sha256=b099762257b60ce2922a7e19920bad30e05b9cdf2af4381c60596a41ca3cb7d3	phase2_artifact_manifest_sha256=d6d4bd7b6ffa98f4ae510694816b4d4c906274f92a9121b6dab7adacdec05ce4	2026-07-16T04:29:50Z	reproduced_current_epoch	C1,C4,C7	Forty-four normalized current-epoch run receipts including eight warm-ups
A051	paper/source_data/core_benchmark_pairs_pre_freeze.tsv	raw_run_table	1	7689	9215279e763975445824441dfe9cf005d8d18b34fbf654a98abc5b996f09c187	python3_scripts/summarize_fasim_gasal2_paper_phase2.py	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	workload_manifest_sha256=b099762257b60ce2922a7e19920bad30e05b9cdf2af4381c60596a41ca3cb7d3	phase2_artifact_manifest_sha256=d6d4bd7b6ffa98f4ae510694816b4d4c906274f92a9121b6dab7adacdec05ce4	2026-07-16T04:29:50Z	reproduced_current_epoch	C1,C4,C7	Eighteen comparator-v3 clean paired receipts
A052	paper/source_data/core_benchmark_failures_pre_freeze.tsv	failure_inventory	1	1395	f90c858b7143f22ca3cc894382409724fc3d61a00d244409e9a3c987ce5a3e2e	python3_scripts/summarize_fasim_gasal2_paper_phase2.py	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	workload_manifest_sha256=b099762257b60ce2922a7e19920bad30e05b9cdf2af4381c60596a41ca3cb7d3	phase2_artifact_manifest_sha256=d6d4bd7b6ffa98f4ae510694816b4d4c906274f92a9121b6dab7adacdec05ce4	2026-07-16T04:29:50Z	reproduced_current_epoch	C1,C4,C7	Ten superseded derived mismatches and one retained technical comparator failure
A053	paper/source_data/core_benchmark_summary_pre_freeze.tsv	machine_readable_summary	1	2171	4cda2662e13586782d477b6be9b9419fd40e77c7f9900a3cdcba4de4d94e02ce	python3_scripts/summarize_fasim_gasal2_paper_phase2.py	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	workload_manifest_sha256=b099762257b60ce2922a7e19920bad30e05b9cdf2af4381c60596a41ca3cb7d3	phase2_artifact_manifest_sha256=d6d4bd7b6ffa98f4ae510694816b4d4c906274f92a9121b6dab7adacdec05ce4	2026-07-16T04:29:50Z	reproduced_current_epoch	C1,C4,C7	Pre-freeze medians inclusive IQR ranges correctness and resource peaks
A054	paper/source_data/core_operating_envelope_pre_freeze.tsv	machine_readable_summary	1	1514	3074bc96a4bcc0d147bf737d830ed10eb96b01905d14542a046c6271ac4d547e	python3_scripts/summarize_fasim_gasal2_paper_phase2.py	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	docs_workload_matrix_sha256=588d172489f2604d4cc7228ab586adfaec169ea2fcdbbc7c2165b99dea11a8b0	NA	2026-07-16T04:29:50Z	reproduced_current_epoch	C1,C7	Five retained one-run descriptive operating-envelope rows without inferential CI
